year,agency_id,alloc_id,account,pa_code,pa_name
2016,012,   ,0019,0001  ,Office of the Secretary
2016,012,   ,0019,0002  ,Under/Assistant Secretaries
2016,012,   ,0019,0003  ,Trade negotiations and biotechnology resources
2016,012,   ,0019,0004  ,Departmental Administration
2016,012,   ,0019,0005  ,Office of Communications
2016,012,   ,0019,0006  ,Office of Advocacy and Outreach
2016,012,   ,0019,0007  ,Office of Homeland Security and Emergency Coordination
2016,012,   ,0019,0008  ,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,012,   ,0019,0009  ,Biobased Markets Program Sec 9001
2016,012,   ,0019,0802  ,Office of the Secretary (Reimbursable)
2016,012,   ,0115,0001  ,Office of the Secretary
2016,012,   ,0115,0002  ,Under/Assistant Secretaries
2016,012,   ,0115,0003  ,Trade negotiations and biotechnology resources
2016,012,   ,0115,0004  ,Departmental Administration
2016,012,   ,0115,0005  ,Office of Communications
2016,012,   ,0115,0006  ,Office of Advocacy and Outreach
2016,012,   ,0115,0007  ,Office of Homeland Security and Emergency Coordination
2016,012,   ,0115,0008  ,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,012,   ,0115,0009  ,Biobased Markets Program Sec 9001
2016,012,   ,0115,0802  ,Office of the Secretary (Reimbursable)
2016,012,   ,0120,0001  ,Office of the Secretary
2016,012,   ,0120,0002  ,Under/Assistant Secretaries
2016,012,   ,0120,0003  ,Trade negotiations and biotechnology resources
2016,012,   ,0120,0004  ,Departmental Administration
2016,012,   ,0120,0005  ,Office of Communications
2016,012,   ,0120,0006  ,Office of Advocacy and Outreach
2016,012,   ,0120,0007  ,Office of Homeland Security and Emergency Coordination
2016,012,   ,0120,0008  ,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,012,   ,0120,0009  ,Biobased Markets Program Sec 9001
2016,012,   ,0120,0802  ,Office of the Secretary (Reimbursable)
2016,012,   ,0121,0001  ,Office of the Secretary
2016,012,   ,0121,0002  ,Under/Assistant Secretaries
2016,012,   ,0121,0003  ,Trade negotiations and biotechnology resources
2016,012,   ,0121,0004  ,Departmental Administration
