rule_label,rule_error_message,rule_cross_file_flag,file_type,severity_name,target_file,query_name,expected_value,category
A1.1,"TAS components: The combination of all the elements that make up the TAS must match the Treasury Central Accounting Reporting System (CARS). AgencyIdentifier, MainAccountCode, and SubAccountCode are always required. AllocationTransferAgencyIdentifier, BeginningPeriodOfAvailability, EndingPeriodOfAvailability and AvailabilityTypeCode are required if present in the CARS table.",n,appropriations,fatal,,a1_appropriations,"A valid TAS must be provided that consists of: AgencyIdentifier, MainAccountCode, and SubAccountCode are always required. AllocationTransferAgencyIdentifier, BeginningPeriodOfAvailability, EndingPeriodOfAvailability and AvailabilityTypeCode are required if they are part of the TAS.","existence"
A1.2,"TAS components: The combination of all the elements that make up the TAS must match the Treasury Central Accounting Reporting System (CARS). AgencyIdentifier, MainAccountCode, and SubAccountCode are always required. AllocationTransferAgencyIdentifier, BeginningPeriodOfAvailability, EndingPeriodOfAvailability and AvailabilityTypeCode are required if present in the CARS table.",n,program_activity,fatal,,a1_object_class_program_activity,"A valid TAS must be provided that consists of: AgencyIdentifier, MainAccountCode, and SubAccountCode are always required. AllocationTransferAgencyIdentifier, BeginningPeriodOfAvailability, EndingPeriodOfAvailability and AvailabilityTypeCode are required if they are part of the TAS.","existence"
A1.3,"TAS components: The combination of all the elements that make up the TAS must match the Treasury Central Accounting Reporting System (CARS). AgencyIdentifier, MainAccountCode, and SubAccountCode are always required. AllocationTransferAgencyIdentifier, BeginningPeriodOfAvailability, EndingPeriodOfAvailability and AvailabilityTypeCode are required if present in the CARS table.",n,award_financial,fatal,,a1_award_financial,"A valid TAS must be provided that consists of: AgencyIdentifier, MainAccountCode, and SubAccountCode are always required. AllocationTransferAgencyIdentifier, BeginningPeriodOfAvailability, EndingPeriodOfAvailability and AvailabilityTypeCode are required if they are part of the TAS.","existence"
A2,"TotalBudgetaryResources_CPE = BudgetAuthorityAppropriatedAmount_CPE + BudgetAuthorityUnobligatedBalanceBroughtForward_FYB + AdjustmentsToUnobligatedBalanceBroughtForward_CPE + OtherBudgetaryResourcesAmount_CPE",n,appropriations,fatal,,a2_appropriations,"TotalBudgetaryResources_CPE must equal the sum of these elements: BudgetAuthorityAppropriatedAmount_CPE + BudgetAuthorityUnobligatedBalanceBroughtForward_FYB + AdjustmentsToUnobligatedBalanceBroughtForward_CPE + OtherBudgetaryResourcesAmount_CPE. The Broker cannot distinguish which item is incorrect for this rule. Refer to related rule errors and warnings in this report (rules A3, A6, A7, A8, A12) to distinguish which elements may be incorrect.","accuracy"
A3,"OtherBudgetaryResourcesAmount_CPE = ContractAuthorityAmountTotal_CPE + BorrowingAuthorityAmountTotal_CPE + SpendingAuthorityfromOffsettingCollectionsAmountTotal_CPE",n,appropriations,fatal,,a3_appropriations,"OtherBudgetaryResourcesAmount_CPE must equal the sum of these elements: ContractAuthorityAmountTotal_CPE + BorrowingAuthorityAmountTotal_CPE + SpendingAuthorityfromOffsettingCollectionsAmountTotal_CPE. The Broker cannot distinguish which item is incorrect for this rule. Refer to related rule errors and warnings in this report (rules A9, A10, A11) to distinguish which elements may be incorrect.","accuracy"
A4,"StatusOfBudgetaryResourcesTotal_CPE= ObligationsIncurredTotalByTAS_CPE + UnobligatedBalance_CPE",n,appropriations,fatal,,a4_appropriations,"StatusOfBudgetaryResourcesTotal_CPE must equal the sum of these elements: ObligationsIncurredTotalByTAS_CPE + UnobligatedBalance_CPE. The Broker cannot distinguish which item is incorrect for this rule. Refer to related rule errors and warnings in this report (rules A15, A22, A23) to distinguish which elements may be incorrect.","accuracy"
A6,"TotalBudgetaryResources_CPE= CPE value for GTAS SF-133 line #1910",n,appropriations,fatal,,a6_appropriations,"(See SQL file)","accuracy"
A7,"BudgetAuthorityUnobligatedBalanceBroughtForward_FYB= value for GTAS SF-133 line #1000",n,appropriations,fatal,,a7_appropriations,"(See SQL file)","accuracy"
A8,"BudgetAuthorityAppropriatedAmount_CPE= CPE aggregate value for GTAS SF-133 line #1160 + #1180 + #1260 + #1280",n,appropriations,fatal,,a8_appropriations,"(See SQL file)","accuracy"
A9,"ContractAuthorityAmountTotal_CPE= CPE aggregate value for GTAS SF-133 line #1540 + #1640",n,appropriations,fatal,,a9_appropriations,"(See SQL file)","accuracy"
